                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8511,                 2.1043,                 2.3789,                 1.3294,                0.22159,                  0.433,                0.27009,                0.16066,                0.21533,                0.41362,                 0.2516,                0.14075,                 1.0382,                 1.9955,                 5.5034,                  1.667,             0.00046641,             0.00046641,             0.00046641
                      2,                0.99171,                 2.5261,                 2.1792,                 1.4063,                0.16171,                 0.3276,                0.20176,                 0.0805,                0.01976,                0.11459,                0.01495,                0.00437,                 1.6912,                 9.8121,                 7.0276,                 2.5478,             0.00091163,             0.00091163,             0.00091163
                      3,                 1.3086,                 3.7229,                 2.3518,                 1.6024,                0.13214,                0.22526,                 0.0762,                0.02552,                0.12353,                0.28127,                0.07117,                0.01848,                 1.7621,                 4.5441,                 8.7682,                 2.4463,              0.0013254,              0.0013254,              0.0013254
                      4,                  1.566,                 3.1652,                 3.1977,                 1.7894,                0.07938,                0.22187,                0.05687,                0.01666,                0.05205,                0.14344,                0.03258,                0.01222,                 2.2872,                 3.3304,                 19.478,                 3.1336,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.5929,                 2.9442,                  2.715,                 1.8984,                0.06456,                0.31672,                0.06453,                0.02336,                  0.017,                0.16166,                0.01945,                0.00636,                 2.1841,                 4.8292,                 12.774,                  3.058,              0.0012404,              0.0012404,              0.0012404
                      6,                 1.4249,                 2.8775,                 2.4487,                 1.7642,                0.11256,                0.20057,                0.10005,                0.03213,                0.07309,                0.24708,                0.05321,                0.01599,                 1.9043,                 3.5147,                 8.6699,                 2.6924,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.3119,                 2.6583,                 2.4421,                 1.6157,                 0.1176,                0.41323,                0.09092,                 0.0309,                0.18073,                0.17896,                0.09575,                0.02833,                 1.7752,                 3.2399,                 5.2355,                 2.3673,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.2191,                 2.7224,                  2.319,                 1.5587,                0.13925,                0.45868,                0.23937,                0.10212,                0.11039,                0.37207,                 0.1665,                0.07629,                 1.3393,                 2.9506,                 3.1541,                 1.9904,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.2369,                 2.7581,                 2.0699,                 1.5502,                0.61842,                0.25894,                0.21964,                0.10496,                0.60885,                0.21347,                0.17729,                0.08548,                 1.4699,                 2.5327,                 3.6082,                 2.0495,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.1685,                 2.4791,                 1.8667,                 1.4842,                0.48401,                0.45391,                0.22726,                0.12023,                0.51493,                0.34662,                0.21356,                0.09868,                 1.2912,                 2.7086,                  5.331,                 2.0124,              0.0010046,              0.0010046,              0.0010046
                     11,                  1.206,                  2.419,                 1.8351,                 1.5341,                0.15008,                0.47134,                0.21335,                0.11285,                 0.1295,                0.37783,                0.17734,                0.09501,                  1.219,                 2.6536,                 3.8393,                 1.9457,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.1553,                 2.3101,                  1.788,                 1.5013,                0.68053,                0.34806,                0.34558,                0.19147,                0.64632,                0.26663,                0.26376,                 0.1324,                 1.2171,                 2.4886,                 2.0598,                 1.8097,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.1116,                 2.2373,                  1.685,                 1.4808,                0.28313,                0.45753,                0.36868,                0.21068,                0.25173,                 0.3418,                0.29561,                 0.1196,                  1.186,                  2.725,                 1.9173,                 1.7629,             0.00086312,             0.00086312,             0.00086312
                     14,                 1.1404,                 2.3166,                 1.7256,                 1.5235,                0.71621,                0.44202,                0.48027,                0.28857,                0.66432,                0.34714,                0.35758,                0.19921,                 1.1384,                 2.2881,                 1.7155,                 1.7079,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.0976,                 2.1032,                 1.6434,                 1.4275,                0.69204,                0.39228,                0.45178,                0.26361,                0.70361,                0.32746,                0.36338,                0.19382,                 1.2845,                 2.3696,                 1.8109,                 1.8396,              0.0007688,              0.0007688,              0.0007688
                     16,                 1.0221,                  2.008,                 1.6161,                 1.4082,                0.49932,                0.51248,                0.52982,                0.33291,                0.42741,                0.43537,                0.42426,                 0.2224,                 1.0777,                 2.2179,                 1.6239,                 1.6404,             0.00072164,             0.00072164,             0.00072164
                     17,                 1.0775,                 2.0259,                  1.585,                 1.4469,                0.54195,                0.55774,                0.53281,                0.33576,                0.43542,                0.47459,                0.41681,                0.21525,                 1.1425,                 2.0666,                 1.5528,                 1.6622,             0.00067449,             0.00067449,             0.00067449
                     18,                 1.0105,                 1.9938,                 1.5736,                 1.3621,                0.44826,                0.57973,                0.54893,                0.35584,                0.39771,                0.50605,                0.42446,                0.21811,                 1.1176,                 2.1306,                  1.506,                 1.6881,             0.00062733,             0.00062733,             0.00062733
                     19,                0.97137,                 2.0168,                 1.4579,                  1.369,                0.55015,                0.55465,                0.55774,                0.35056,                0.48229,                0.45894,                0.40158,                0.20204,                 1.1206,                 2.1205,                 1.5057,                 1.6798,             0.00058017,             0.00058017,             0.00058017
                     20,                0.98306,                 1.9871,                 1.3938,                 1.3567,                0.49589,                0.64688,                0.58015,                0.40636,                0.37505,                0.54201,                 0.4279,                0.23823,                0.93257,                 1.8378,                 1.3063,                   1.51,             0.00053302,             0.00053302,             0.00053302
                     21,                 1.0659,                 2.1085,                 1.7223,                 1.5873,                0.44717,                0.55236,                0.57922,                  0.389,                0.31857,                0.66976,                 0.4452,                0.23728,                 0.9874,                  1.809,                 1.3396,                 1.5506,             0.00048586,             0.00048586,             0.00048586
                     22,                  1.059,                 2.1308,                 1.5584,                  1.584,                0.47318,                0.64059,                0.60438,                  0.431,                0.40775,                0.54601,                0.49542,                0.30008,                0.93266,                  1.756,                 1.2742,                  1.521,              0.0004387,              0.0004387,              0.0004387
                     23,                 1.0107,                 1.8251,                  1.488,                 1.6182,                0.48471,                0.61419,                0.60641,                 0.4329,                0.40381,                0.51142,                0.46262,                0.29657,                0.94794,                 1.7894,                 1.2629,                 1.5561,             0.00039155,             0.00039155,             0.00039155
                     24,                 1.0013,                 1.8315,                 1.4632,                  1.595,                0.44615,                0.76936,                0.61984,                0.44921,                0.38172,                0.69216,                0.50742,                0.31186,                0.88865,                 1.6953,                 1.1736,                 1.4844,             0.00034439,             0.00034439,             0.00034439
                     25,                0.90997,                 1.7717,                 1.3575,                 1.4937,                  0.407,                0.74502,                0.63068,                0.46285,                 0.3702,                0.68247,                0.52147,                0.30294,                0.87002,                  1.671,                 1.1593,                 1.4533,             0.00029723,             0.00029723,             0.00029723
                     26,                0.91857,                  1.697,                 1.3193,                 1.5137,                0.82224,                 0.5164,                0.62609,                0.46269,                0.34267,                0.66774,                0.53858,                0.29079,                0.83263,                 1.6491,                  1.201,                 1.4039,             0.00025007,             0.00025007,             0.00025007
                     27,                0.80314,                  1.528,                 1.2885,                 1.4009,                0.79765,                0.55422,                0.62305,                 0.4642,                0.72558,                0.49779,                0.52134,                0.29075,                0.81203,                 1.6159,                 1.1887,                 1.3789,             0.00020292,             0.00020292,             0.00020292
                     28,                0.83913,                 1.6249,                 1.2298,                 1.3935,                0.41358,                0.75837,                 0.5975,                0.44605,                0.38459,                0.70753,                0.52554,                0.29085,                0.78855,                 1.5432,                  1.181,                 1.3615,             0.00015576,             0.00015576,             0.00015576
                     29,                0.83068,                 1.6309,                 1.2723,                 1.4447,                0.41286,                0.76591,                0.59727,                0.44233,                0.38638,                0.71195,                0.52394,                0.29373,                 0.7834,                 1.5077,                 1.1828,                  1.357,              0.0001086,              0.0001086,              0.0001086
                     30,                0.82912,                 1.5251,                 1.1894,                 1.4249,                0.44276,                0.78867,                0.61287,                0.45768,                0.41303,                0.73789,                0.55208,                0.32001,                0.75954,                 1.4396,                 1.1292,                 1.3332,             6.1447e-05,             6.1447e-05,             6.1447e-05
